id,lat,lon,period,NDVI,NDWI,MNDWI,NDBI,EVI,SAVI,LAI,GCI,ARVI,BSI,LST_celsius,canopy_cover_pct
site_01,22.65,82.9,2021-04,0.28196460958973724,-0.338726715186149,-0.4526150331774946,0.1339188304933222,0.19067733014048954,0.17662367763471168,0.5718705804482916,1.0385038438851766,0.15773992010801835,0.146116415212008,39.752843647685616,2.9719575279063437
site_01,22.65,82.9,2021-05,0.3695965948133851,-0.3925040998808787,-0.46232604963318147,0.08283700033131447,0.24818683689302354,0.23372155501653175,0.7799399758789588,1.349372931015537,0.24380132485142986,0.11039590750677936,35.83256011644211,2.9719575279063437
site_01,22.65,82.9,2021-06,,,,,,,,,,,39.5342523613065,2.9719575279063437
site_01,22.65,82.9,2021-07,0.45982970475140295,-0.45612430201433535,-0.4560482970511512,-0.007655874336868944,0.33897490417752474,0.3084290619498832,1.108411203314284,1.8619849842735794,0.3557859507887451,0.030822176825653032,,2.9719575279063437
site_01,22.65,82.9,2021-08,,,,,,,,,,,26.63853475590784,2.9719575279063437
site_01,22.65,82.9,2021-09,,,,,,,,,,,,
site_01,22.65,82.9,2021-10,0.5587037464990854,-0.5466729033648328,-0.5349556665495986,-0.023830841538700964,0.332024097202595,0.3139339330924659,1.0832631836789883,2.6082137009091957,0.4785340247640577,0.005850825676501739,28.428460142271586,2.9719575279063437
site_01,22.65,82.9,2021-11,0.544089452947623,-0.5518824080562028,-0.5558193177257559,-0.002223644746255975,0.30858002229113457,0.29777188354258083,0.9984425206493233,2.678662138464129,0.45014063062400345,0.02804130915709144,25.95488994533871,2.9719575279063437
site_01,22.65,82.9,2021-12,0.4822409983733746,-0.485268311019548,-0.49309424733652835,0.007808816772465652,0.29003303757050025,0.2674486696562944,0.9313395299300696,1.980250103899454,0.4091268843054,0.030235373324589546,22.628293241743556,2.9719575279063437
site_01,22.65,82.9,2022-01,0.5061492569388839,-0.5262165607669759,-0.549370307855147,0.022710602569957983,0.26595860433694585,0.26383035443891234,0.8442382304910679,2.473097789268606,0.39311422397320844,0.055661549769561926,21.71266644327645,2.9719575279063437
site_01,22.65,82.9,2022-02,0.44636601808882015,-0.4820642933889162,-0.5389911410571459,0.07067882083154403,0.24713245188053168,0.24470550907439625,0.7761252109037627,2.0076686449496237,0.31920642252411097,0.10065175719621804,25.058693668977018,2.9719575279063437
site_01,22.65,82.9,2022-03,0.3961148359615867,-0.4657083558346406,-0.5421044864727147,0.09807790877343908,0.22372818074039302,0.23160349267505187,0.6914485579187397,1.8568515008373008,0.22606887371255516,0.1429123796789677,35.47659291293996,2.9719575279063437
site_01,22.65,82.9,2022-04,0.3538735038657156,-0.4394938113349738,-0.5216666622431455,0.10468916758740009,0.22499248833465815,0.23064107036323375,0.6960228227947931,1.6348107374384127,0.17666683366160713,0.15330324488374847,39.96116465964436,2.9719575279063437
site_01,22.65,82.9,2022-05,0.3739437617652945,-0.42739845001019894,-0.4985302634184533,0.08780156540831047,0.2482204188385997,0.24441583478585996,0.7800614753580537,1.561921088305696,0.219421803524137,0.12786630943730928,36.28174763869465,2.9719575279063437
site_01,22.65,82.9,2022-06,,,,,,,,,,,37.79492290938022,2.9719575279063437
site_01,22.65,82.9,2022-07,,,,,,,,,,,,
site_01,22.65,82.9,2022-08,,,,,,,,,,,,
site_01,22.65,82.9,2022-09,,,,,,,,,,,,
site_01,22.65,82.9,2022-10,0.5808276848775304,-0.5740193952771765,-0.537940053744795,-0.060712710135467765,0.35381316842860405,0.33151941848858696,1.1620960433746876,2.9485506407658586,0.5085236874732708,-0.027072271267690993,27.311020126076325,2.9719575279063437
site_01,22.65,82.9,2022-11,0.5505082170647074,-0.561242106402864,-0.5484460973399508,-0.026076127904494407,0.3223284819129532,0.3118363860980699,1.048184447561063,2.790723284525358,0.4494093433966519,0.011811503822253369,25.132513078807627,2.9719575279063437
site_01,22.65,82.9,2022-12,0.5425567029077257,-0.5653746439155242,-0.5664603504494855,-0.009671721701009111,0.2945769294175406,0.29371764231086334,0.9477793306326633,2.9186858237691076,0.4242621027700724,0.030980016137771987,23.240363086138334,2.9719575279063437
site_01,22.65,82.9,2023-01,0.4715547098201188,-0.5053723601393628,-0.5402460122248646,0.04174934883723041,0.25430004740200524,0.2542337402214825,0.8020575715004528,2.1959866970141553,0.3421914757382974,0.07883248473757384,23.52008647301529,2.9719575279063437
site_01,22.65,82.9,2023-02,0.43803228732637417,-0.4928256855218259,-0.5411307064698115,0.059936900975628385,0.24387045144085864,0.2442123021479972,0.7643232933130283,2.0936000480367696,0.2991535266595323,0.09797010924654005,28.544642359002,2.9719575279063437
site_01,22.65,82.9,2023-03,0.386159751764261,-0.48283301423809,-0.5778553757782714,0.12800017977266992,0.21299954841884425,0.22407627654477177,0.652632366179377,1.971859540484899,0.20601271345450883,0.17072151254131818,32.70528029906408,2.9719575279063437
site_01,22.65,82.9,2023-04,0.31900218592790136,-0.3982529137307986,-0.5373729959178749,0.17618610013753064,0.19106897587413538,0.1876446146184263,0.5732875547126206,1.363769640216865,0.17367529063341294,0.18820784901476506,37.434266504709434,2.9719575279063437
site_01,22.65,82.9,2023-05,0.3392533236867107,-0.38403756917955095,-0.4785071546223279,0.11460232980409336,0.22843049567903584,0.2192823140877454,0.7084615333667522,1.2934026574972852,0.19599133264526097,0.14243196519776513,38.13899463863111,2.9719575279063437
site_01,22.65,82.9,2023-06,0.0661751083742797,0.000698100854452585,0.03417476004646669,-0.03353460897265653,-0.19955439773077072,0.05180330542775908,-0.8399878109899277,0.010659363995991534,0.33043523491182136,-0.08292280283330879,39.74960672125746,2.9719575279063437
site_01,22.65,82.9,2023-07,,,,,,,,,,,,
site_01,22.65,82.9,2023-08,,,,,,,,,,,30.33984087624925,2.9719575279063437
site_01,22.65,82.9,2023-09,,,,,,,,,,,,
site_01,22.65,82.9,2023-10,0.5623601303378638,-0.5618248768526213,-0.5552850725698038,-0.018019878363019083,0.3427092218967531,0.3262497124138765,1.1219219648224554,2.801913796631232,0.47124389552993623,0.014241189591873272,28.448265066633596,2.9719575279063437
site_01,22.65,82.9,2023-11,0.5196069207657865,-0.5365606268341705,-0.5446295807324627,0.003892605230034749,0.3062956014295955,0.29398925636694195,0.9901774859722754,2.515532623375771,0.419796460640586,0.035702423682800966,26.203152149782955,2.9719575279063437
site_01,22.65,82.9,2023-12,0.49910498408011506,-0.5011611146799952,-0.5059070069132597,0.0022194099713819006,0.29993056056200257,0.27732453433542403,0.9671487681133264,2.1326585907823135,0.4272621507526902,0.024855629978939617,21.378785440533157,2.9719575279063437
site_01,22.65,82.9,2024-01,0.458048326965367,-0.4718507967008333,-0.49231441706986895,0.0243544601127916,0.27162787380850717,0.2555699163814634,0.8647496474391779,1.8646696230950617,0.3645906766315655,0.0517348231325665,21.223720999392828,2.9719575279063437
site_01,22.65,82.9,2024-02,0.45132721964120687,-0.4869026084423367,-0.534570830483888,0.058619406363204465,0.253510110524806,0.2481360279751352,0.7991995798787481,2.033542085262277,0.33226946174984573,0.0878475052648712,26.085885170369938,2.9719575279063437
site_01,22.65,82.9,2024-03,0.382345161930732,-0.4629512397577234,-0.5571205763660992,0.1232184322286584,0.21817857733177914,0.22618116509021977,0.6713700927863763,1.8265494901183477,0.20935404886449516,0.16334368754134768,32.3401034367207,2.9719575279063437
site_01,22.65,82.9,2024-04,0.3280171024908027,-0.4053045816495355,-0.535169295566273,0.16500486225337416,0.2048930799038935,0.20424427608870077,0.6233031630922872,1.415889135142747,0.1687798876906905,0.1871781517327099,39.50057934197579,2.9719575279063437
site_01,22.65,82.9,2024-05,0.33196036792522404,-0.39175783524373675,-0.5076474246347722,0.1432548921943493,0.21709002636862715,0.21151670259293234,0.6674317154016941,1.33841884886298,0.1826832445780692,0.1661418701795664,34.30233033850654,2.9719575279063437
site_01,22.65,82.9,2024-06,0.35558998254063545,-0.36393822370338696,-0.416185604656391,0.05951222887415964,0.25936823857357677,0.2317678957927717,0.8203942871591999,1.1901937947978776,0.25175348899246763,0.08357193807680155,34.596440651462906,2.9719575279063437
site_01,22.65,82.9,2024-07,,,,,,,,,,,,
site_01,22.65,82.9,2024-08,,,,,,,,,,,,
site_01,22.65,82.9,2024-09,,,,,,,,,,,,
site_01,22.65,82.9,2024-10,0.5659062154238764,-0.563524591672938,-0.558627266888595,-0.014454517587002181,0.3266465599463279,0.3146700813088193,1.0638072538858134,2.7945404086400623,0.4736455371845813,0.017433049167721947,27.545404176003913,2.9719575279063437
site_01,22.65,82.9,2024-11,0.5105074045513056,-0.5153481749058078,-0.5058462584978066,-0.016455968628222833,0.3253678950513573,0.29552928609772255,1.0591810442958116,2.242809049690569,0.44329491915384756,0.00909418153906978,23.401191131402445,2.9719575279063437
site_01,22.65,82.9,2024-12,0.4614106868253055,-0.4602885196005561,-0.4401606755640112,-0.02618897312055009,0.3079319208457332,0.2710630918939068,0.9960976896198619,1.778525770660747,0.40297228670759794,0.0004932639510339615,21.688297953884188,2.9719575279063437
site_01,22.65,82.9,2025-01,0.4825144369585765,-0.5070052579796519,-0.5276886380047472,0.020699792630490915,0.2724213326410007,0.26595722644205966,0.8676203814951384,2.2377172873266478,0.3692864000500354,0.05581414624837683,20.989516995120223,2.9719575279063437
site_01,22.65,82.9,2025-02,0.438231774468863,-0.4854170563574147,-0.5323453073346036,0.0578586526859081,0.25331266148589515,0.24906941924677986,0.7984852092559676,2.01112176454855,0.30943937605153454,0.09220539959079586,26.21941148505709,2.9719575279063437
site_01,22.65,82.9,2025-03,0.3488158217917496,-0.44242345493205565,-0.5419818836426578,0.12898588891350504,0.21383603545743896,0.2166627248106719,0.6556587762850135,1.6414863936684219,0.18228880467463912,0.164821527374053,33.32807195962266,2.9719575279063437
site_01,22.65,82.9,2025-04,0.322469452277863,-0.41395487772197276,-0.5340606807417347,0.1536561170842892,0.20450115539300925,0.20727329477944914,0.6218851802119082,1.4522006041584072,0.15018920678508166,0.1863006640220504,36.20986018555352,2.9719575279063437
site_01,22.65,82.9,2025-05,0.35007689311915857,-0.414308217829097,-0.5199937286570123,0.13356445266569333,0.23103052134890417,0.22704586645430247,0.7178684262403344,1.4650788708495082,0.19515393260318345,0.16226062273543318,34.823975308383275,2.9719575279063437
site_01,22.65,82.9,2025-06,0.3700302182279867,-0.3999988623459653,-0.47290878507183765,0.08754581132315693,0.2633559434852256,0.24611615543142445,0.834821803529548,1.3962275417533134,0.24051274165160952,0.11547308766662222,33.261817210832334,2.9719575279063437
site_01,22.65,82.9,2025-07,,,,,,,,,,,,
site_01,22.65,82.9,2025-08,,,,,,,,,,,,
site_01,22.65,82.9,2025-09,,,,,,,,,,,,
site_01,22.65,82.9,2025-10,0.5319319417372597,-0.5082019960590014,-0.48742223324738926,-0.03183037759365524,0.3695437795686275,0.3168299303491133,1.2190093944792966,2.356132690992999,0.4775872474777336,-0.008256989686796177,27.10493141217602,2.9719575279063437
site_01,22.65,82.9,2025-11,0.5279945563995309,-0.5344668752025854,-0.5301145703436642,-0.01067937461910043,0.3123125965353103,0.2951993876997476,1.0119469742647547,2.436119826616873,0.442442953113943,0.019570981110327602,21.953651887997687,2.9719575279063437
site_01,22.65,82.9,2025-12,0.5378958080208716,-0.5606023731650852,-0.5642709625923378,-0.004442987133582628,0.2921375796347151,0.289507152694543,0.9389537631183991,2.8186227624364126,0.4248400412891819,0.03374290222267214,17.85235284508587,2.9719575279063437
